"","year","date","guest_name"
"138",1999,"8/12/99","Eduardo Sanchez and Daniel Myrick"
"139",1999,"8/12/99","Eduardo Sanchez and Daniel Myrick"
"140",1999,"8/16/99","Carson Daly"
"141",1999,"8/17/99","Molly Ringwald"
"142",1999,"8/18/99","Sarah Jessica Parker"
"143",1999,"8/19/99","French Stewart"
"144",1999,"8/2/99","Bebe Neuwirth"
"145",1999,"8/23/99","Cheryl Ladd"
"146",1999,"8/24/99","LL Cool J"
"147",1999,"8/25/99","Dwight Yoakam"
"148",1999,"8/26/99","Nia Long"
"149",1999,"8/3/99","Garry Marshall"
"150",1999,"8/30/99","The Daily Show Summer Spectacular"
"151",1999,"8/4/99","Denis Leary"
"152",1999,"8/5/99","Jeffrey Tambor"
"153",1999,"8/9/99","Dave Foley"
"154",1999,"9/13/99","Elayne Boosler"
"155",1999,"9/14/99","Tom Green"
"156",1999,"9/15/99","Jason Priestley"
"157",1999,"9/16/99","David Cross"
"158",1999,"9/20/99","Andy Richter"
"159",1999,"9/21/99","Donny Osmond Marie Osmond"
"160",1999,"9/22/99","Dave Chappelle"
"161",1999,"9/23/99","Steve Zahn"
"162",1999,"9/27/99","Norm Macdonald"
"163",1999,"9/28/99","Melissa Joan Hart"
"164",1999,"9/29/99","Richard Lewis"
"165",1999,"9/30/99","Bruce McCulloch and Mark McKinney"
"166",1999,"9/30/99","Bruce McCulloch and Mark McKinney"
"167",2000,"1/10/00","Joe Montana"
"168",2000,"1/11/00","Will Ferrell"
"169",2000,"1/12/00","Ice Cube"
"170",2000,"1/13/00","Michael Stipe"
"171",2000,"1/17/00","Penelope Ann Miller"
"172",2000,"1/18/00","Frankie Muniz"
"173",2000,"1/19/00","Freddie Prinze Jr."
"174",2000,"1/20/00","Jerry Springer"
"175",2000,"1/24/00","Selma Blair"
"176",2000,"1/25/00","Peter Krause"
"177",2000,"1/26/00","Jenny McCarthy"
"178",2000,"1/27/00","David Arquette"
"179",2000,"1/4/00","Cynthia Nixon"
"180",2000,"1/5/00","Robbie Williams"
"181",2000,"1/6/00","Richard Belzer"
"182",2000,"10/16/00","Alice Cooper"
"183",2000,"10/17/00","Christian Slater"
"184",2000,"10/18/00","Joshua Jackson"
"185",2000,"10/19/00","Brendan Fraser"
"186",2000,"10/2/00","Dean Cain"
"187",2000,"10/23/00","Kevin James"
"188",2000,"10/24/00","Jeff Garlin"
"189",2000,"10/25/00","Posh Spice & Baby Spice"
"190",2000,"10/25/00","Posh Spice & Baby Spice"
"191",2000,"10/26/00","Steven Weber"
"192",2000,"10/3/00","Ashton Kutcher"
"193",2000,"10/30/00","Brett Butler"
"194",2000,"10/31/00","David Frost"
"195",2000,"10/4/00","Jewel"
"196",2000,"10/5/00","Ralph Nader"
"197",2000,"11/1/00","Phil Donahue"
"198",2000,"11/13/00","Adam Sandler"
"199",2000,"11/14/00","Patricia Arquette"
"200",2000,"11/15/00","Adam Sandler"
"201",2000,"11/16/00","Rhys Ifans"
"202",2000,"11/2/00","Michael Richards"
"203",2000,"11/20/00","Tales of Survival with Vance DeGeneres"
"204",2000,"11/27/00","John Goodman"
"205",2000,"11/28/00","Laura San Giacomo"
"206",2000,"11/29/00","Billy Campbell"
"207",2000,"11/30/00","Anthony Clark"
"208",2000,"11/6/00","Arlen Specter"
"209",2000,"11/7/00","Bob Dole"
"210",2000,"11/8/00","Richard Belzer"
"211",2000,"11/9/00","Michael Moore"
"212",2000,"12/11/00","Ira Glass"
"213",2000,"12/12/00","Greta Van Susteren"
"214",2000,"12/13/00","no guest"
"215",2000,"12/14/00","Wolf Blitzer"
"216",2000,"12/18/00","Marla Sokoloff"
"217",2000,"12/19/00","Marisa Tomei"
"218",2000,"12/20/00","Jeri Ryan"
"219",2000,"12/21/00","Gillian Anderson"
"220",2000,"12/4/00","Thomas Gibson"
"221",2000,"12/5/00","Faith Ford"
"222",2000,"12/6/00","Chris O'Donnell"
"223",2000,"12/7/00","Marlon Wayans"
"224",2000,"2/1/00","Jeff Bridges"
"225",2000,"2/1/00","Vin Diesel"
"226",2000,"2/14/00","Moby"
"227",2000,"2/15/00","Dennis Farina"
"228",2000,"2/16/00","Matthew Perry"
"229",2000,"2/17/00","Ed McMahon"
"230",2000,"2/2/00","Focus on New Hampshire Special, special guest Bob Dole"
"231",2000,"2/22/00","Snoop Dogg"
"232",2000,"2/23/00","Charlize Theron"
"233",2000,"2/24/00","Rachael Leigh Cook"
"234",2000,"2/28/00","Forest Whitaker"
"235",2000,"2/3/00","Jason Priestly"
"236",2000,"3/1/00","Tobey Maguire"
"237",2000,"3/13/00","Eddie Izzard"
"238",2000,"3/14/00","Kim Delaney"
"239",2000,"3/15/00","Wolf Blitzer"
"240",2000,"3/16/00","George Wallace"
"241",2000,"3/2/00","Ellen DeGeneres"
"242",2000,"3/20/00","Chris Meloni"
"243",2000,"3/21/00","Marla Sokoloff"
"244",2000,"3/22/00","Eric Idle"
"245",2000,"3/23/00","Leelee Sobieski"
"246",2000,"3/27/00","John Lydon"
"247",2000,"3/28/00","Joshua Jackson"
"248",2000,"3/29/00","Sam Donaldson"
"249",2000,"3/30/00","Jimmy Smits"
"250",2000,"3/6/00","Neil Patrick Harris"
"251",2000,"3/7/00","Kevin Pollak"
"252",2000,"3/8/00","Bob Dole"
"253",2000,"3/9/00","Garry Shandling"
